track_id,track_name,artist,artist_id,album,album_id,album_releasedate,track_popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,artist_popularity,playlist_id,playlist_name,playlist_owner,playlist_owner_id,duration_min,translated_key,year_released,word_match_score,key_compatible,mode_compatible,camelot_mvmt,translated_energy,translated_mood,energy_mvmt,mood_mvmt,desc,nn_score,nn_index_position,intersection,intersection_num,order,cum_duration
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Parachutes,6ZG5lRT77aJ3btmArcykra,2000-07-10,90,266773,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,permanent wave | pop,88,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,4.45,B,2000,1000.0,11.0,1.0,0.0,Perfectly harmonic,Same mood,0.0,0.0,Same scale,0.0,0.0,common_text_score|harmonic_keys|nearest_neighbor,3,0.0,4.45
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Demi,6Kssm2LosQ0WyLukFZkEG5,2013-01-01,81,210840,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,pop | post-teen pop,77,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.51,G#,2013,1.0,8.0,1.0,3.0,Raise energy,Same mood,1.0,0.0,Going down minor third,1.6596105059280102,1.0,common_text_score|harmonic_keys|nearest_neighbor,3,1.0,7.96
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,90,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,canadian contemporary r&b | canadian pop | pop,95,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.33,C#,2020,1.5,1.0,1.0,-1.0,Goosebumps,Same mood,-1.0,0.0,Down a fifth,1.0163892979456746,2.0,common_text_score|harmonic_keys|nearest_neighbor,3,2.0,11.29
5VwSwu1zeiMGAjwe9nUmzZ,Million Years Ago,Adele,4dpARuHxo51G3z768sgnrY,25,0K4pIOOsfJ9lK8OjrZfXzd,2016-06-24,0,227066,0.721,0.273,1,-7.617,0,0.028,0.733,0.0,0.108,0.181,105.846,british soul | pop | pop soul | uk pop,85,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.78,C#m,2016,1.5,1.0,0.0,-3.0,Goosebumps,Darken mood,-1.0,-1.0,Parallel Key,,,common_text_score|harmonic_keys,2,3.0,15.069999999999999
1fu5IQSRgPxJL2OTP7FVLW,I See Fire,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack),6KX0qrnnPlmBrI2BEXJV9Q,2013-12-10,72,300746,0.633,0.0519,10,-21.107,0,0.0365,0.562,0.0,0.097,0.204,76.034,pop | singer-songwriter pop | uk pop,87,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,5.01,A#m,2013,2.5,10.0,0.0,3.0,Raise energy,Same mood,1.0,0.0,Going down minor third,1.7735845917408062,4.0,common_text_score|harmonic_keys|nearest_neighbor,3,4.0,20.08
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,2018-10-05,85,215733,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,art pop | dance pop | pop,85,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.6,G,2018,1.5,7.0,1.0,0.0,Perfectly harmonic,Brigthen mood,0.0,1.0,Tonal shift,1.9496695306166,2.0,common_text_score|harmonic_keys|nearest_neighbor,3,5.0,23.68
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,08jWgM4vSkTose4blKBWov,2014-05-26,84,239316,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,pop | uk pop,83,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.99,F,2014,1.5,5.0,1.0,-2.0,Goosebumps,Same mood,-1.0,0.0,Down whole step,1.4074848487783442,1.0,common_text_score|harmonic_keys|nearest_neighbor,3,6.0,27.67
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,2023-08-18,92,200600,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,pop,86,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.34,C,2023,1.0,0.0,1.0,1.0,Raise energy,Same mood,1.0,0.0,Up a fifth,,,common_text_score|harmonic_keys,2,7.0,31.01
7BqHUALzNBTanL6OvsqmC1,Happier,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2u4Yp2ADTKYPwFSBFL4ffa,2018-08-17,85,214289,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,brostep | edm | pop | progressive electro house,84,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.57,F,2018,1.0,5.0,1.0,-1.0,Goosebumps,Same mood,-1.0,0.0,Down a fifth,1.0909332523475623,3.0,common_text_score|harmonic_keys|nearest_neighbor,3,8.0,34.58
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,2QJmrSgbdM35R67eoGQo4j,2014-10-27,74,231826,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,pop,100,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.86,F,2014,1.0,5.0,1.0,0.0,Perfectly harmonic,Same mood,0.0,0.0,Same scale,0.9331001950564042,2.0,common_text_score|harmonic_keys|nearest_neighbor,3,9.0,38.44
