track_id,track_name,artist,artist_id,album,album_id,album_releasedate,track_popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,artist_popularity,playlist_id,playlist_name,playlist_owner,playlist_owner_id,duration_min,translated_key,year_released
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Parachutes,6ZG5lRT77aJ3btmArcykra,7/10/2000,89,266773,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,permanent wave | pop,84,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,4.45,B,2000
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio,3y24n3XhZ96wgwRXjvS17T,Gangsta's Paradise,0BJYNipGyMrw4ngKDJXzXZ,11/7/1995,85,240693,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,g funk | gangster rap | hip hop | west coast rap,64,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,4.01,G#,1995
0F7FA14euOIX8KcbEturGH,Old Town Road,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,6/21/2019,74,113000,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23E-06,0.101,0.507,135.998,lgbtq+ hip hop,72,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,1.88,C#,2019
1DfGPEHxTYeaJpiNA4xUb5,Für Elise,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,Classical Best Of,1SkmA5emGHKMJva7baN4lq,3/1/2009,58,173000,0.25,0.0163,9,-36.423,0,0.0442,0.995,0.899,0.0767,0.306,144.193,classical | classical era | early romantic era | german romanticism,68,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,2.88,Am,2009
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,4yP0hdKOZPNshxUOjY0cZj,3/20/2020,90,200040,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54E-05,0.0897,0.334,171.001,canadian contemporary r&b | canadian pop | pop,91,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.33,C#,2020
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Millennium,5ySxm9hxBNss01WCL7GLyQ,5/18/1999,82,213306,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,boy band | dance pop | pop,71,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.56,F#m,1999
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,The Beginning: Cupid,5letLUZIFsQikJYShfGNs4,2/24/2023,70,174253,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15E-06,0.347,0.726,120.018,k-pop girl group,64,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,2.9,Bm,2023
6gpcs5eMhJwax4mIfKDYQk,Slide (feat. Frank Ocean & Migos),Calvin Harris,7CajNmpbOovFoOoasH2HaY,Slide (feat. Frank Ocean & Migos),1UIlzhqJLiA3f6OVw7QKn6,2/24/2017,71,230813,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21E-06,0.254,0.511,104.066,dance pop | edm | electro house | house | pop | pop dance | progressive house | uk dance,83,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.85,C#m,2017
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,8/18/2023,91,200600,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99E-05,0.0232,0.632,118.048,pop,81,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.34,C,2023
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,Adele,4dpARuHxo51G3z768sgnrY,21,0Lg1uZvI312TPqxNWShFXL,1/24/2011,79,228093,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,british soul | pop | pop soul | uk pop,81,2N9pjdn0Bpl39UzB7WqQHZ,Test Playlist,Quoc-Anh Duong,1214868237,3.8,G#,2011
